order_date,store,city,product,category,quantity,unit_price,discount,tax,total_sales,customer_type,payment_mode,channel,event_type
2023-06-26,TK Korean Restaurant,Mumbai,TK Bone-In Chicken,Chicken,1,37.79,6.14,3.16,34.81,Guest,Online,Square Online,Payment
2023-06-26,TK Korean Restaurant,Mumbai,TK Boneless Chicken,Chicken,1,37.23,0.0,3.72,40.95,Guest,Card,Register,Payment
2023-06-26,TK Korean Restaurant,Mumbai,Army Stew (2 servings),K-Main,1,36.31,0.0,3.64,39.95,Guest,Card,Register,Payment
2023-06-26,TK Korean Restaurant,Mumbai,Rice,Sides,1,3.64,0.0,0.36,4.0,Guest,Card,Register,Payment
2023-06-26,TK Korean Restaurant,Mumbai,Corn Cheese,Sides,1,11.77,0.0,1.18,12.95,Guest,Other,Register,Payment
2023-06-26,TK Korean Restaurant,Mumbai,TK Boneless Chicken,Chicken,1,37.23,0.0,3.72,40.95,Guest,Other,Register,Payment
2023-06-26,TK Korean Restaurant,Mumbai,Shoestring Fries,Sides,1,7.23,0.0,0.72,7.95,Guest,Other,Register,Payment
2023-06-26,TK Korean Restaurant,Mumbai,TK Bone-In Chicken,Chicken,1,37.23,0.0,3.72,40.95,Guest,Other,Register,Payment
2023-06-26,TK Korean Restaurant,Mumbai,Army Stew (2 servings),K-Main,1,36.32,0.0,3.63,39.95,Guest,Card,Register,Payment
2023-06-26,TK Korean Restaurant,Mumbai,18pc Korean Fried Wings,Chicken,1,27.22,0.0,2.73,29.95,Guest,Card,Register,Payment
2023-06-26,TK Korean Restaurant,Mumbai,Rice,Sides,2,3.64,0.0,0.73,8.0,Guest,Card,Register,Payment
2023-06-26,TK Korean Restaurant,Mumbai,Chicken Radish,Sides,1,3.64,0.0,0.36,4.0,Guest,Card,Register,Payment
2023-06-26,TK Korean Restaurant,Mumbai,TK Boneless Chicken,Chicken,1,40.95,40.95,0.0,0.0,Guest,Online,Square Online,Payment
2023-06-26,TK Korean Restaurant,Mumbai,Kimchi,Sides,1,3.64,0.0,0.36,4.0,Guest,Other,Register,Payment
2023-06-26,TK Korean Restaurant,Mumbai,12pc Korean Fried Wings,Chicken,1,19.95,0.0,2.0,21.95,Guest,Other,Register,Payment
2023-06-26,TK Korean Restaurant,Mumbai,Rice,Sides,1,3.64,0.0,0.36,4.0,Guest,Other,Register,Payment
2023-06-26,TK Korean Restaurant,Mumbai,Beef Bulgogi Loaded Fries,Sides,1,17.23,0.0,1.72,18.95,Guest,Other,Register,Payment
2023-06-26,TK Korean Restaurant,Mumbai,TK Boneless Chicken,Chicken,1,37.22,0.0,3.73,40.95,Guest,Card,Register,Payment
2023-06-26,TK Korean Restaurant,Mumbai,Shoestring Fries,Sides,1,7.23,0.0,0.72,7.95,Guest,Card,Register,Payment
2023-06-26,TK Korean Restaurant,Mumbai,Japchae,K-Main,1,18.14,0.0,1.81,19.95,Guest,Other,Register,Payment
2023-06-26,TK Korean Restaurant,Mumbai,Burger Meal,Burgers,1,19.04,0.0,1.91,20.95,Guest,Other,Register,Payment
2023-06-26,TK Korean Restaurant,Mumbai,Onion Rings,Sides,1,9.05,0.0,0.9,9.95,Guest,Other,Register,Payment
2023-06-26,TK Korean Restaurant,Mumbai,TK Boneless Chicken,Chicken,1,40.86,0.0,4.09,44.95,Guest,Other,Register,Payment
2023-06-26,TK Korean Restaurant,Mumbai,Burger Meal,Burgers,1,19.05,0.0,1.9,20.95,Guest,Other,Register,Payment
2023-06-26,TK Korean Restaurant,Mumbai,12pc Korean Fried Wings,Chicken,1,19.96,0.0,1.99,21.95,Guest,Other,Register,Payment
2023-06-26,TK Korean Restaurant,Mumbai,Burger Meal,Burgers,1,20.86,0.0,2.09,22.95,Guest,Other,Register,Payment
2023-06-26,TK Korean Restaurant,Mumbai,Spicy Pork Belly,K-Main,1,24.49,0.0,2.46,26.95,Guest,Other,Register,Payment
2023-06-26,TK Korean Restaurant,Mumbai,12pc Korean Fried Wings,Chicken,1,23.59,0.0,2.36,25.95,Guest,Other,Register,Payment
2023-06-26,TK Korean Restaurant,Mumbai,Rice,Sides,2,3.64,0.0,0.73,8.0,Guest,Other,Register,Payment
2023-06-26,TK Korean Restaurant,Mumbai,Crushed Pear Juice,Soft Drinks,1,4.09,0.0,0.41,4.5,Guest,Other,Register,Payment
2023-06-26,TK Korean Restaurant,Mumbai,Burger Meal,Burgers,1,24.5,0.0,2.45,26.95,Guest,Other,Register,Payment
2023-06-26,TK Korean Restaurant,Mumbai,Chicken Radish,Sides,1,3.64,0.0,0.36,4.0,Guest,Other,Register,Payment
2023-06-26,TK Korean Restaurant,Mumbai,BonBon Grape juice,Soft Drinks,1,4.5,0.0,0.0,4.5,Guest,Other,Register,Payment
2023-06-26,TK Korean Restaurant,Mumbai,Burger Meal,Burgers,1,19.95,0.0,2.0,21.95,Guest,Other,Register,Payment
2023-06-26,TK Korean Restaurant,Mumbai,Original Ddeokbokki,K-Main,1,26.32,0.0,2.63,28.95,Guest,Other,Register,Payment
2023-06-26,TK Korean Restaurant,Mumbai,12pc Korean Fried Wings,Chicken,1,19.95,0.0,2.0,21.95,Guest,Card,Register,Payment
2023-06-26,TK Korean Restaurant,Mumbai,Spicy Pork Belly,K-Main,1,24.5,0.0,2.45,26.95,Guest,Other,Register,Payment
2023-06-26,TK Korean Restaurant,Mumbai,18pc Korean Fried Wings,Chicken,1,27.23,0.0,2.72,29.95,Guest,Card,Register,Payment
2023-06-26,TK Korean Restaurant,Mumbai,Sprite,Soft Drinks,1,4.09,0.0,0.41,4.5,Guest,Card,Register,Payment
2023-06-26,TK Korean Restaurant,Mumbai,Half Bone-In Chicken (8pcs),Chicken,1,21.77,0.0,2.18,23.95,Guest,Other,Register,Payment
2023-06-26,TK Korean Restaurant,Mumbai,Fanta,Soft Drinks,1,4.09,0.0,0.41,4.5,Guest,Other,Register,Payment
2023-06-26,TK Korean Restaurant,Mumbai,Beef Bulgogi Loaded Fries,Sides,1,17.23,0.0,1.72,18.95,Guest,Card,Register,Payment
2023-06-26,TK Korean Restaurant,Mumbai,12pc Korean Fried Wings,Chicken,1,27.23,0.0,2.72,29.95,Guest,Other,Register,Payment
2023-06-26,TK Korean Restaurant,Mumbai,Beef Bulgogi,K-Main,1,24.5,0.0,2.45,26.95,Guest,Other,Register,Payment
2023-06-26,TK Korean Restaurant,Mumbai,TK Bone-In Chicken,Chicken,1,37.23,0.0,3.72,40.95,Guest,Card,Register,Payment
2023-06-26,TK Korean Restaurant,Mumbai,Coke,Soft Drinks,1,4.09,0.0,0.41,4.5,Guest,Card,Register,Payment
2023-06-27,TK Korean Restaurant,Mumbai,Beef Bulgogi,K-Main,1,24.87,4.04,2.08,22.91,Guest,Online,Square Online,Payment
2023-06-27,TK Korean Restaurant,Mumbai,Rose Ddeokbokki,K-Main,1,27.63,4.5,2.32,25.45,Guest,Online,Square Online,Payment
2023-06-27,TK Korean Restaurant,Mumbai,Beef Bulgogi Loaded Fries,Sides,1,17.23,0.0,1.72,18.95,Guest,Other,Register,Payment
