order_date,product,category,quantity,total_sales,unit_price,channel,payment_mode,event_type,store,city,discount
2026-01-01,Mini Tiffin Thali,Thali,1,157.5,150,Register,Cash,Payment,Saravana Bhavan Corner,Chennai,0.0
2026-01-01,Rava Dosa,Dosa,1,115.5,110,Register,Cash,Payment,Saravana Bhavan Corner,Chennai,0.0
2026-01-01,Filter Coffee,Beverages,1,42.0,40,Register,Cash,Payment,Saravana Bhavan Corner,Chennai,0.0
2026-01-01,Masala Dosa,Dosa,1,94.5,90,Register,Cash,Payment,Saravana Bhavan Corner,Chennai,0.0
2026-01-01,Idli (4pc),Tiffin,1,63.0,60,Register,Cash,Payment,Saravana Bhavan Corner,Chennai,0.0
2026-01-01,Lemon Rice,Rice,1,105.0,100,Register,Cash,Payment,Saravana Bhavan Corner,Chennai,0.0
2026-01-01,Masala Dosa,Dosa,1,94.5,90,Register,Card,Payment,Saravana Bhavan Corner,Chennai,0.0
2026-01-01,Masala Chai,Beverages,1,36.75,35,Register,Cash,Payment,Saravana Bhavan Corner,Chennai,0.0
2026-01-01,Filter Coffee,Beverages,2,84.0,40,Register,Cash,Payment,Saravana Bhavan Corner,Chennai,0.0
2026-01-01,Mini Tiffin Thali,Thali,2,315.0,150,Register,Cash,Payment,Saravana Bhavan Corner,Chennai,0.0
2026-01-01,Mini Tiffin Thali,Thali,1,133.88,150,Register,Cash,Payment,Saravana Bhavan Corner,Chennai,0.0
2026-01-01,Idli (4pc),Tiffin,2,126.0,60,Swiggy,Card,Payment,Saravana Bhavan Corner,Chennai,0.0
2026-01-01,Lemon Rice,Rice,2,210.0,100,Register,UPI,Payment,Saravana Bhavan Corner,Chennai,0.0
2026-01-01,Veg Thali,Thali,1,189.0,180,Register,UPI,Payment,Saravana Bhavan Corner,Chennai,0.0
2026-01-01,Vada (2pc),Tiffin,1,52.5,50,Register,Cash,Payment,Saravana Bhavan Corner,Chennai,0.0
2026-01-01,Veg Thali,Thali,2,378.0,180,Swiggy,Card,Payment,Saravana Bhavan Corner,Chennai,0.0
