order_date,product,category,quantity,total_sales,unit_price,channel,payment_mode,event_type,store,city
2026-04-01,Sweet Lassi,Beverages,-1,-67.2,80,Register,Cash,Refund,Spice Route Kitchen,Kolkata
2026-04-01,Veg Biryani,Biryani,3,661.5,210,Swiggy,Card,Payment,Spice Route Kitchen,Kolkata
2026-04-01,Garlic Naan,Breads,1,51.98,55,Swiggy,Card,Payment,Spice Route Kitchen,Kolkata
2026-04-01,Mutton Biryani,Biryani,1,357.0,340,Swiggy,Card,Payment,Spice Route Kitchen,Kolkata
2026-04-01,Paneer Tikka,Starters,2,546.0,260,Zomato,Card,Payment,Spice Route Kitchen,Kolkata
2026-04-01,Rasmalai (2pc),Desserts,1,80.85,110,Zomato,Card,Payment,Spice Route Kitchen,Kolkata
2026-04-01,Gulab Jamun (2pc),Desserts,1,94.5,90,Zomato,Card,Payment,Spice Route Kitchen,Kolkata
2026-04-01,Paneer Tikka,Starters,2,546.0,260,Zomato,UPI,Payment,Spice Route Kitchen,Kolkata
2026-04-01,Chicken Biryani,Biryani,1,273.0,260,Zomato,Card,Payment,Spice Route Kitchen,Kolkata
2026-04-01,Gulab Jamun (2pc),Desserts,1,94.5,90,Swiggy,Card,Payment,Spice Route Kitchen,Kolkata
2026-04-01,Garlic Naan,Breads,1,57.75,55,Swiggy,Card,Payment,Spice Route Kitchen,Kolkata
2026-04-01,Sweet Lassi,Beverages,1,84.0,80,Swiggy,Card,Payment,Spice Route Kitchen,Kolkata
2026-04-01,Chicken 65,Starters,2,504.0,240,Swiggy,Card,Payment,Spice Route Kitchen,Kolkata
2026-04-01,Mutton Biryani,Biryani,1,357.0,340,Register,Card,Payment,Spice Route Kitchen,Kolkata
2026-04-01,Chicken Biryani,Biryani,2,491.4,260,Register,Card,Payment,Spice Route Kitchen,Kolkata
2026-04-01,Dal Makhani,Main Course,1,231.0,220,Register,Card,Payment,Spice Route Kitchen,Kolkata
2026-04-01,Chicken Biryani,Biryani,2,382.2,260,Zomato,UPI,Payment,Spice Route Kitchen,Kolkata
2026-04-01,Chicken Biryani,Biryani,1,273.0,260,Zomato,UPI,Payment,Spice Route Kitchen,Kolkata
2026-04-01,Veg Biryani,Biryani,2,441.0,210,Zomato,UPI,Payment,Spice Route Kitchen,Kolkata
2026-04-01,Samosa (2pc),Starters,1,63.0,60,Register,Card,Payment,Spice Route Kitchen,Kolkata
2026-04-01,Butter Naan,Breads,2,94.5,45,Register,Card,Payment,Spice Route Kitchen,Kolkata
2026-04-01,Veg Biryani,Biryani,1,220.5,210,Zomato,Card,Payment,Spice Route Kitchen,Kolkata
2026-04-01,Paneer Tikka,Starters,1,273.0,260,Zomato,Card,Payment,Spice Route Kitchen,Kolkata
2026-04-01,Butter Chicken,Main Course,1,336.0,320,Zomato,Card,Payment,Spice Route Kitchen,Kolkata
2026-04-01,Butter Chicken,Main Course,2,672.0,320,Zomato,UPI,Payment,Spice Route Kitchen,Kolkata
2026-04-01,Tandoori Roti,Breads,1,31.5,30,Zomato,UPI,Payment,Spice Route Kitchen,Kolkata
2026-04-01,Sweet Lassi,Beverages,1,84.0,80,Zomato,UPI,Payment,Spice Route Kitchen,Kolkata
2026-04-01,Mutton Biryani,Biryani,2,714.0,340,Register,UPI,Payment,Spice Route Kitchen,Kolkata
2026-04-01,Samosa (2pc),Starters,1,63.0,60,Register,UPI,Payment,Spice Route Kitchen,Kolkata
2026-04-01,Masala Chai,Beverages,1,42.0,40,Register,UPI,Payment,Spice Route Kitchen,Kolkata
2026-04-01,Butter Chicken,Main Course,3,907.2,320,Register,UPI,Payment,Spice Route Kitchen,Kolkata
2026-04-01,Mango Lassi,Beverages,2,189.0,90,Register,UPI,Payment,Spice Route Kitchen,Kolkata
2026-04-01,Sweet Lassi,Beverages,2,168.0,80,Register,UPI,Payment,Spice Route Kitchen,Kolkata
2026-04-01,Chicken Biryani,Biryani,2,546.0,260,Register,UPI,Payment,Spice Route Kitchen,Kolkata
2026-04-01,Paneer Tikka,Starters,1,273.0,260,Register,Card,Payment,Spice Route Kitchen,Kolkata
2026-04-01,Paneer Tikka,Starters,2,546.0,260,Register,Card,Payment,Spice Route Kitchen,Kolkata
2026-04-01,Sweet Lassi,Beverages,1,84.0,80,Swiggy,Card,Payment,Spice Route Kitchen,Kolkata
2026-04-01,Masala Chai,Beverages,1,42.0,40,Register,Card,Payment,Spice Route Kitchen,Kolkata
2026-04-01,Coke,Beverages,1,63.0,60,Swiggy,Card,Payment,Spice Route Kitchen,Kolkata
2026-04-01,Samosa (2pc),Starters,2,126.0,60,Swiggy,UPI,Payment,Spice Route Kitchen,Kolkata
2026-04-01,Gulab Jamun (2pc),Desserts,1,85.05,90,Swiggy,UPI,Payment,Spice Route Kitchen,Kolkata
2026-04-01,Mutton Biryani,Biryani,1,357.0,340,Swiggy,UPI,Payment,Spice Route Kitchen,Kolkata
2026-04-01,Mutton Biryani,Biryani,2,714.0,340,Swiggy,UPI,Payment,Spice Route Kitchen,Kolkata
2026-04-01,Gulab Jamun (2pc),Desserts,2,189.0,90,Swiggy,UPI,Payment,Spice Route Kitchen,Kolkata
2026-04-01,Rasmalai (2pc),Desserts,1,115.5,110,Swiggy,Card,Payment,Spice Route Kitchen,Kolkata
2026-04-01,Butter Chicken,Main Course,2,672.0,320,Swiggy,Card,Payment,Spice Route Kitchen,Kolkata
2026-04-01,Gulab Jamun (2pc),Desserts,1,94.5,90,Zomato,Card,Payment,Spice Route Kitchen,Kolkata
2026-04-01,Paneer Tikka,Starters,1,273.0,260,Zomato,Card,Payment,Spice Route Kitchen,Kolkata
2026-04-01,Papad,Sides,-2,-63.0,30,Zomato,UPI,Refund,Spice Route Kitchen,Kolkata
2026-04-01,Sweet Lassi,Beverages,-1,-84.0,80,Zomato,UPI,Refund,Spice Route Kitchen,Kolkata
2026-04-01,Masala Chai,Beverages,-1,-42.0,40,Zomato,UPI,Refund,Spice Route Kitchen,Kolkata
2026-04-01,Chicken 65,Starters,1,252.0,240,Register,Card,Payment,Spice Route Kitchen,Kolkata
2026-04-01,Garlic Naan,Breads,-2,-115.5,55,Register,Cash,Refund,Spice Route Kitchen,Kolkata
2026-04-01,Chicken 65,Starters,1,252.0,240,Swiggy,Card,Payment,Spice Route Kitchen,Kolkata
2026-04-01,Gulab Jamun (2pc),Desserts,1,94.5,90,Swiggy,Card,Payment,Spice Route Kitchen,Kolkata
2026-04-01,Butter Chicken,Main Course,-1,-336.0,320,Register,Cash,Refund,Spice Route Kitchen,Kolkata
2026-04-01,Garlic Naan,Breads,-1,-57.75,55,Swiggy,Card,Refund,Spice Route Kitchen,Kolkata
2026-04-01,Garlic Naan,Breads,-3,-173.25,55,Swiggy,Card,Refund,Spice Route Kitchen,Kolkata
2026-04-01,Gulab Jamun (2pc),Desserts,1,94.5,90,Zomato,Card,Payment,Spice Route Kitchen,Kolkata
2026-04-01,Rasmalai (2pc),Desserts,2,231.0,110,Swiggy,Card,Payment,Spice Route Kitchen,Kolkata
2026-04-01,Chicken Biryani,Biryani,1,273.0,260,Swiggy,Card,Payment,Spice Route Kitchen,Kolkata
2026-04-01,Butter Chicken,Main Course,3,806.4,320,Register,Cash,Payment,Spice Route Kitchen,Kolkata
2026-04-01,Mango Lassi,Beverages,1,94.5,90,Register,Cash,Payment,Spice Route Kitchen,Kolkata
2026-04-01,Mutton Biryani,Biryani,1,357.0,340,Swiggy,UPI,Payment,Spice Route Kitchen,Kolkata
2026-04-01,Mutton Biryani,Biryani,1,357.0,340,Swiggy,UPI,Payment,Spice Route Kitchen,Kolkata
2026-04-01,Butter Chicken,Main Course,1,336.0,320,Zomato,Card,Payment,Spice Route Kitchen,Kolkata
2026-04-01,Seekh Kebab,Starters,3,882.0,280,Swiggy,UPI,Payment,Spice Route Kitchen,Kolkata
2026-04-01,Chicken 65,Starters,1,252.0,240,Swiggy,UPI,Payment,Spice Route Kitchen,Kolkata
2026-04-01,Butter Naan,Breads,1,47.25,45,Swiggy,UPI,Payment,Spice Route Kitchen,Kolkata
2026-04-01,Chicken 65,Starters,1,252.0,240,Zomato,UPI,Payment,Spice Route Kitchen,Kolkata
2026-04-01,Mango Lassi,Beverages,1,75.6,90,Zomato,UPI,Payment,Spice Route Kitchen,Kolkata
2026-04-01,Masala Chai,Beverages,-1,-42.0,40,Swiggy,Card,Refund,Spice Route Kitchen,Kolkata
2026-04-01,Chicken Biryani,Biryani,1,218.4,260,Swiggy,UPI,Payment,Spice Route Kitchen,Kolkata
2026-04-02,Gulab Jamun (2pc),Desserts,1,85.05,90,Register,Card,Payment,Spice Route Kitchen,Kolkata
2026-04-02,Paneer Butter Masala,Main Course,2,588.0,280,Register,Cash,Payment,Spice Route Kitchen,Kolkata
2026-04-02,Chicken Biryani,Biryani,2,546.0,260,Register,Cash,Payment,Spice Route Kitchen,Kolkata
2026-04-02,Chicken Biryani,Biryani,1,245.7,260,Register,Cash,Payment,Spice Route Kitchen,Kolkata
2026-04-02,Masala Chai,Beverages,1,42.0,40,Register,Cash,Payment,Spice Route Kitchen,Kolkata
2026-04-02,Tandoori Roti,Breads,2,56.7,30,Register,UPI,Payment,Spice Route Kitchen,Kolkata
2026-04-02,Tandoori Roti,Breads,2,44.1,30,Zomato,UPI,Payment,Spice Route Kitchen,Kolkata
2026-04-02,Chicken 65,Starters,1,252.0,240,Zomato,UPI,Payment,Spice Route Kitchen,Kolkata
2026-04-02,Coke,Beverages,1,63.0,60,Register,Cash,Payment,Spice Route Kitchen,Kolkata
2026-04-02,Chicken Biryani,Biryani,1,218.4,260,Zomato,UPI,Payment,Spice Route Kitchen,Kolkata
2026-04-02,Butter Chicken,Main Course,2,672.0,320,Zomato,UPI,Payment,Spice Route Kitchen,Kolkata
2026-04-02,Butter Chicken,Main Course,2,672.0,320,Zomato,UPI,Payment,Spice Route Kitchen,Kolkata
2026-04-02,Samosa (2pc),Starters,3,189.0,60,Zomato,UPI,Payment,Spice Route Kitchen,Kolkata
2026-04-02,Butter Chicken,Main Course,2,672.0,320,Register,Card,Payment,Spice Route Kitchen,Kolkata
