order_date,product,category,quantity,total_sales,unit_price,channel,payment_mode,event_type,store,city,discount
2026-06-01,Soju (Fri-Sat),Beverages,1,13.2,12.0,Register,Cash,Payment,Main Branch,Hobart,0.0
2026-06-01,Kimchi Fried Rice,Rice Bowls,1,17.49,15.9,Register,Card,Payment,Main Branch,Hobart,0.0
2026-06-01,TK Boneless Chicken,Fried Chicken,1,31.35,28.5,Uber Eats,Card,Payment,Main Branch,Hobart,0.0
2026-06-01,Spicy Pork Bowl,Rice Bowls,2,41.58,18.9,Uber Eats,Card,Payment,Main Branch,Hobart,0.0
2026-06-01,Soju (Fri-Sat),Beverages,1,13.2,12.0,Register,Card,Payment,Main Branch,Hobart,0.0
2026-06-01,Spicy Pork Bowl,Rice Bowls,1,20.79,18.9,Register,Cash,Payment,Main Branch,Hobart,0.0
2026-06-01,Yangnyeom Chicken,Fried Chicken,2,57.2,26.0,Register,Cash,Payment,Main Branch,Hobart,0.0
2026-06-01,Spicy Pork Bowl,Rice Bowls,2,41.58,18.9,Register,Cash,Payment,Main Branch,Hobart,0.0
2026-06-01,Spicy Pork Bowl,Rice Bowls,2,41.58,18.9,Register,Card,Payment,Main Branch,Hobart,0.0
2026-06-01,Yangnyeom Chicken,Fried Chicken,1,28.6,26.0,Uber Eats,Card,Payment,Main Branch,Hobart,0.0
2026-06-01,Coke,Beverages,1,3.47,3.5,Uber Eats,Card,Payment,Main Branch,Hobart,0.0
2026-06-01,Bibimbap,Rice Bowls,3,57.75,17.5,Register,Card,Payment,Main Branch,Hobart,0.0
2026-06-01,6pc Boneless Chicken,Fried Chicken,1,13.56,14.5,Uber Eats Pickup,Card,Payment,Main Branch,Hobart,0.0
2026-06-01,12pc Korean Fried Wings,Fried Chicken,1,22.35,23.9,Square Online,Card,Payment,Main Branch,Hobart,0.0
2026-06-01,12pc Boneless Chicken,Fried Chicken,1,27.39,24.9,Square Online,Card,Payment,Main Branch,Hobart,0.0
2026-06-01,Bingsu,Desserts,1,13.09,11.9,DoorDash,Card,Payment,Main Branch,Hobart,0.0
2026-06-01,18pc Korean Fried Wings,Fried Chicken,1,35.75,32.5,DoorDash,Card,Payment,Main Branch,Hobart,0.0
2026-06-01,Coke,Beverages,1,3.85,3.5,DoorDash,Card,Payment,Main Branch,Hobart,0.0
2026-06-01,Bibimbap,Rice Bowls,1,19.25,17.5,DoorDash,Card,Payment,Main Branch,Hobart,0.0
2026-06-01,Tteokbokki,Sides,1,13.75,12.5,DoorDash,Card,Payment,Main Branch,Hobart,0.0
2026-06-01,Bulgogi Beef Bowl,Rice Bowls,2,42.9,19.5,DoorDash,Card,Payment,Main Branch,Hobart,0.0
2026-06-01,12pc Korean Fried Wings,Fried Chicken,1,26.29,23.9,Register,Cash,Payment,Main Branch,Hobart,0.0
2026-06-01,Tteokbokki,Sides,1,13.75,12.5,Uber Eats Pickup,Card,Payment,Main Branch,Hobart,0.0
2026-06-02,Kimchi Pancake,Sides,1,14.85,13.5,DoorDash Pickup,Cash,Payment,Main Branch,Hobart,0.0
2026-06-02,Fries,Sides,1,7.15,6.5,DoorDash,Card,Payment,Main Branch,Hobart,0.0
2026-06-02,12pc Boneless Chicken,Fried Chicken,2,43.82,24.9,DoorDash,Card,Payment,Main Branch,Hobart,0.0
2026-06-02,Soju (Fri-Sat),Beverages,1,11.22,12.0,DoorDash,Card,Payment,Main Branch,Hobart,0.0
2026-06-02,TK Boneless Chicken,Fried Chicken,1,26.64,28.5,DoorDash,Card,Payment,Main Branch,Hobart,0.0
2026-06-02,Fries,Sides,1,7.15,6.5,DoorDash,Card,Payment,Main Branch,Hobart,0.0
2026-06-02,Korean Iced Tea,Beverages,2,9.9,4.5,DoorDash,Card,Payment,Main Branch,Hobart,0.0
2026-06-02,Corn Cheese,Sides,2,21.78,9.9,DoorDash,Card,Payment,Main Branch,Hobart,0.0
2026-06-02,Korean Iced Tea,Beverages,1,4.95,4.5,DoorDash,Card,Payment,Main Branch,Hobart,0.0
2026-06-02,Kimchi Fried Rice,Rice Bowls,1,17.49,15.9,DoorDash,Card,Payment,Main Branch,Hobart,0.0
2026-06-02,Coke,Beverages,1,3.08,3.5,Square Online,Card,Payment,Main Branch,Hobart,0.0
2026-06-02,TK Boneless Chicken,Fried Chicken,2,62.7,28.5,Square Online,Card,Payment,Main Branch,Hobart,0.0
2026-06-02,6pc Boneless Chicken,Fried Chicken,1,15.95,14.5,DoorDash,Card,Payment,Main Branch,Hobart,0.0
2026-06-02,Coke,Beverages,1,3.85,3.5,DoorDash,Card,Payment,Main Branch,Hobart,0.0
2026-06-02,TK Boneless Chicken,Fried Chicken,1,31.35,28.5,Register,Card,Payment,Main Branch,Hobart,0.0
2026-06-02,Sprite,Beverages,3,10.39,3.5,Register,Card,Payment,Main Branch,Hobart,0.0
2026-06-02,Soju (Fri-Sat),Beverages,1,13.2,12.0,Register,Card,Payment,Main Branch,Hobart,0.0
2026-06-02,Spicy Pork Bowl,Rice Bowls,1,20.79,18.9,DoorDash,Card,Payment,Main Branch,Hobart,0.0
2026-06-02,TK Boneless Chicken,Fried Chicken,1,31.35,28.5,DoorDash,Card,Payment,Main Branch,Hobart,0.0
2026-06-02,Bibimbap,Rice Bowls,1,19.25,17.5,DoorDash,Card,Payment,Main Branch,Hobart,0.0
2026-06-02,Coke,Beverages,3,11.55,3.5,DoorDash,Card,Payment,Main Branch,Hobart,0.0
2026-06-02,Kimchi Fried Rice,Rice Bowls,1,15.74,15.9,Square Online,Card,Payment,Main Branch,Hobart,0.0
2026-06-02,Tteokbokki,Sides,1,13.75,12.5,DoorDash,Card,Payment,Main Branch,Hobart,0.0
